PPGDP_2018
Sierra Leone,472.825438057198
El Salvador,3511.45378240851
San Marino,
Somalia,
Serbia,6886.50034784975
Sub-Saharan Africa (excluding high income),1658.80978100119
South Sudan,
Sub-Saharan Africa,1659.95222448112
Small states,12246.0861412054
Sao Tome and Principe,1297.35857228489
Suriname,8040.94011128172
Slovak Republic,20599.1468427086
Slovenia,26768.3926429479
Sweden,57921.3792813456
Eswatini,4773.9173821739
Sint Maarten (Dutch part),
Seychelles,14385.3018089603
Syrian Arab Republic,
Turks and Caicos Islands,
Chad,813.342478774863
East Asia & Pacific (IDA & IBRD countries),6536.96149784556
Europe & Central Asia (IDA & IBRD countries),10195.8880582059
Togo,676.173403625576
Thailand,6361.62499026563
Tajikistan,1073.02183482136
Turkmenistan,7647.93580378613
Latin America & the Caribbean (IDA & IBRD countries),9141.1330301745
Timor-Leste,2759.52650321924
Middle East & North Africa (IDA & IBRD countries),
Tonga,4054.94072244493
South Asia (IDA & IBRD),1888.0465709665
Sub-Saharan Africa (IDA & IBRD countries),1659.95222448112
Trinidad and Tobago,15161.0684555798
Tunisia,4401.05718965754
Turkey,15068.982383455
Tuvalu,3636.05500647562
Tanzania,957.125935173965
Uganda,710.081948117871
Ukraine,3110.19464582486
Upper middle income,8434.00395088849
Uruguay,14617.464002064
United States,54579.0168374446
Uzbekistan,2366.28520017032
St. Vincent and the Grenadines,6852.60660188886
"Venezuela, RB",7697.04878230852
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,1964.4759908863
Vanuatu,2875.43040562306
World,10857.8691228865
Samoa,3748.84406858747
Kosovo,4161.32385261663
"Yemen, Rep.",667.945436909641
South Africa,7433.61539826952
Zambia,1672.34542786224
Zimbabwe,1322.3440634317
